brand_catalog,supplier_id,supplier_name,srm,sku,class_name,marketing_category,discount_pct,non_promo_daily_avg,member_pop_up_sales,lift_pct,incremental_sales,active_on_event,positive_lift
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1791,"Placemats, Chargers, & Napkins",Tabletop,0.2,1.64,0.0,-1.0,-1.64,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,OPHL3044,Dining Linens,Tabletop,0.1,1.64,0.0,-1.0,-1.64,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1707,"Placemats, Chargers, & Napkins",Tabletop,0.1,1.58,0.0,-1.0,-1.58,False,False
Wayfair US,33318,Natco Home,Supplier Service Desk,MBSY1225,Curtains & Drapes,Window,0.4,1.58,0.0,-1.0,-1.58,False,False
Wayfair US,14925,Lichtenberg,Missy Paragamian,LCTN1390,Valances & Kitchen Curtains,Window,0.15,1.56,2.24,0.43799999999999994,0.6800000000000002,True,True
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,KBHZ3344,Dining Linens,Tabletop,0.2,1.55,0.0,-1.0,-1.55,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1797,Dining Linens,Tabletop,0.35,1.53,0.0,-1.0,-1.53,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1781,Dining Linens,Tabletop,0.35,1.5,0.0,-1.0,-1.5,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1745,Dining Linens,Tabletop,0.1,1.5,0.0,-1.0,-1.5,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,VWB11638,Dining Linens,Tabletop,0.35,1.49,17.45,10.727,15.959999999999999,True,True
Wayfair US,10539,Half Price Drapes,Madison Carvalho,XKQ1278,Curtains & Drapes,Window,0.09,1.43,4.38,2.059,2.95,True,True
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1516,Dining Linens,Tabletop,0.1,1.39,0.0,-1.0,-1.39,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1645,"Placemats, Chargers, & Napkins",Tabletop,0.35,1.39,0.0,-1.0,-1.39,False,False
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,STSS5306,Curtains & Drapes,Window,0.5,1.38,0.0,-1.0,-1.38,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1775,Dining Linens,Tabletop,0.35,1.38,0.0,-1.0,-1.38,False,False
Wayfair US,33318,Natco Home,Supplier Service Desk,MBSY1017,Curtains & Drapes,Window,0.4,1.31,0.0,-1.0,-1.31,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1264,Valances & Kitchen Curtains,Window,0.35,1.31,0.0,-1.0,-1.31,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1828,Dining Linens,Tabletop,0.1,1.28,0.0,-1.0,-1.28,False,False
Wayfair US,33318,Natco Home,Supplier Service Desk,MBSY1240,Curtains & Drapes,Window,0.4,1.28,0.0,-1.0,-1.28,False,False
Wayfair US,14925,Lichtenberg,Missy Paragamian,LCTN1080,Valances & Kitchen Curtains,Window,0.2,1.26,0.0,-1.0,-1.26,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1578,Dining Linens,Tabletop,0.1,1.25,0.0,-1.0,-1.25,False,False
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,AAOF1426,Curtains & Drapes,Window,0.5,1.24,0.0,-1.0,-1.24,False,False
Wayfair US,10539,Half Price Drapes,Madison Carvalho,DBHM3698,Curtains & Drapes,Window,0.24,1.2,0.0,-1.0,-1.2,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,KBHZ2875,Dining Linens,Tabletop,0.1,1.19,0.0,-1.0,-1.19,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,KBHZ2889,Dining Linens,Tabletop,0.1,1.19,0.0,-1.0,-1.19,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,KBHZ3378,Kitchen Towels,Tabletop,0.1,1.19,0.0,-1.0,-1.19,False,False
Wayfair US,60212,OPT FASHION GROUP INC.,Supplier Service Desk,AMHS1045,Curtains & Drapes,Window,0.3,1.19,0.0,-1.0,-1.19,False,False
Wayfair US,60212,OPT FASHION GROUP INC.,Supplier Service Desk,AMHS1071,Curtains & Drapes,Window,0.3,1.19,1.97,0.665,0.78,True,True
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1407,Valances & Kitchen Curtains,Window,0.35,1.18,0.0,-1.0,-1.18,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1500,Dining Linens,Tabletop,0.1,1.18,0.0,-1.0,-1.18,False,False
Wayfair US,60212,OPT FASHION GROUP INC.,Supplier Service Desk,AMHS1067,Curtains & Drapes,Window,0.3,1.15,0.0,-1.0,-1.15,False,False
Wayfair US,60212,OPT FASHION GROUP INC.,Supplier Service Desk,AMHS1015,Curtains & Drapes,Window,0.3,1.15,0.0,-1.0,-1.15,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,KBHZ3341,Dining Linens,Tabletop,0.1,1.15,0.0,-1.0,-1.15,False,False
Wayfair US,14925,Lichtenberg,Missy Paragamian,GDIG1120,Curtains & Drapes,Window,0.2,1.14,13.65,10.939,12.51,True,True
Wayfair US,23034,Ramallah Trading Company,Benjamin Hannigan,QLKO1867,Valances & Kitchen Curtains,Window,0.25,1.12,0.0,-1.0,-1.12,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1665,"Placemats, Chargers, & Napkins",Tabletop,0.2,1.07,0.0,-1.0,-1.07,False,False
