display_sku,prsku,category,color_count,sales_ltm_fandd_net_revenue,ordercount_ltm
BPOS1175,BPOS1175,Bath,10,15105.23,746
SPES1183,SPES1183,Bath,12,15020.23,165
VQM14643,VQM14643,Bedding,13,14979.87,204
PLYH1015,PLYH1015,Bedding,11,14940.27,554
W119191234,OPAH1240,Window,13,14936.06,409
OALL3147,OALL3147,Bedding,19,14869.81,99
W009298458,ENDG1244,Window,19,14836.96,569
W112235376,QASO1164,Bath,16,14821.46,605
W001859998,SLPE1060,Bedding,10,14811.33,400
W001314773,BL23376,Bedding,11,14699.2,91
W004804518,ANSL1005,Bath,20,14658.88,467
W009973105,DCNV1825,Window,18,14652.65,486
W003236985,ANDO2012,Bedding,16,14633.53,340
W007882096,IVBX2300,Bedding,14,14624.16,404
W001226532,PTOM1000,Bedding,26,14596.81,380
W003328419,WLRO1495,Window,10,14595.4,133
W001992669,VQM10465,Bedding,37,14582.64,91
W100409539,BHLV1075,Bedding,10,14492.23,564
W009451855,ULIH2833,Bedding,12,14482.97,186
CKAI1009,CKAI1009,Bedding,14,14420.2,537
BDUR1493,BDUR1493,Bedding,14,14347.58,321
BDOK1123,BDOK1123,Bedding,13,14335.27,199
W009038187,MOFC1273,Bedding,15,14327.94,391
BKIE1029,BKIE1029,Bedding,16,14313.69,247
EXCH1876,EXCH1876,Window,13,14277.25,180
W004744282,BCHH7549,Bedding,12,14223.58,193
W000788803,GRYL6792,Bedding,11,14161.0,274
W112671167,LFMF5350,Window,15,14096.92,391
WRG10039,WRG10039,Bedding,27,14074.14,439
W100253657,VQM14049,Bedding,11,14068.75,149
CEZM1748,CEZM1748,Bedding,17,14064.73,316
W001881094,AAOF1058,Window,10,14031.17,328
W005630079,AAOF1582,Window,11,13965.12,264
W003402603,TWXL1336,Bedding,14,13737.98,740
TDGZ1184,TDGZ1184,Window,13,13725.21,104
DBDI3960,DBDI3960,Bedding,23,13604.65,212
W010953729,ENDG1674,Window,17,13578.98,411
W005933102,CHMB2410,Bedding,12,13556.2,265
W001018160,SPLI1001,Bedding,12,13551.8,521
BTLL1399,BTLL1399,Bedding,13,13551.74,239
W004360929,KTX1361,Bath,13,13516.81,443
W002332558,MITN3053,Bedding,14,13489.5,469
CKAI1035,CKAI1035,Bedding,26,13447.79,654
SEDZ1267,SEDZ1267,Bedding,15,13427.57,161
W001331531,TRNT5445,Window,13,13424.35,272
W006117006,CHMB2019,Bedding,14,13422.08,474
W007921240,MECY2551,Bedding,15,13379.78,378
LLIJ1436,LLIJ1436,Window,23,13332.02,45
W004254799,JLYI1130,Bedding,13,13301.28,322
W100425701,IPCR1003,Bedding,14,13299.73,488
TKMK1930,TKMK1930,Bedding,14,13295.21,461
BDUR1248,BDUR1248,Bedding,22,13292.26,319
W002435814,SYPL2270,Bath,16,13270.33,499
W005959830,MACE1008,Bedding,17,13230.44,373
W001320570,DBHC8430,Bath,10,13226.06,216
LMDE1679,LMDE1679,Bedding,13,13197.67,66
HMTU1749,HMTU1749,Bath,33,13121.34,53
W005485277,THJL2527,Bedding,11,13071.87,387
W006114595,BDNT1176,Bedding,39,13056.69,573
LLIJ1240,LLIJ1240,Window,10,13053.11,126
W009451640,ULIH2829,Bedding,11,12994.67,155
ULIH4095,ULIH4095,Bedding,11,12974.49,185
W005006138,FV77787,Bedding,10,12961.81,231
W006705577,JHAA1002,Bedding,21,12943.81,446
W004844919,EBDG5363,Bedding,11,12907.8,233
LCST1305,LCST1305,Bedding,11,12902.53,126
PSHP1563,PSHP1563,Bedding,15,12795.93,45
TWXL1043,TWXL1043,Bedding,12,12751.24,351
STSS9051,STSS9051,Bedding,15,12715.34,117
JAZA1008,JAZA1008,Bedding,13,12706.73,341
W006111943,ZZKO1122,Window,11,12538.63,230
W003470712,DBYH8496,Window,13,12523.73,162
W003539540,DCUS1279,Bedding,15,12483.67,563
W004083097,DRBH6314,Bath,19,12440.36,146
W005932777,CHMB1352,Bath,21,12405.05,248
W001623504,ACRY1718,Bedding,12,12309.56,368
MRCL1191,MRCL1191,Bedding,11,12274.83,147
ULIH6063,ULIH6063,Bedding,12,12270.56,172
W111991429,TCAO4376,Window,12,12243.8,250
TWXL1113,TWXL1113,Bedding,17,12236.37,185
W003471044,CHMB2350,Bath,10,12163.51,412
FNRE2361,FNRE2361,Bedding,31,12138.93,208
NGTO1009,NGTO1009,Bedding,16,12130.07,193
W006991401,RBSD7688,Bedding,12,12129.6,198
HIDN2978,HIDN2978,Bedding,22,12112.58,98
W000267664,HVQ11048,Bedding,15,12081.67,101
W004515110,FBWX1427,Bath,11,12041.47,224
W004577977,DCUS1027,Bedding,21,12034.24,390
W006472359,ULIH2498,Bath,14,12020.41,193
W002629684,MRCL1003,Bedding,24,11995.67,475
W005578231,ZYWR1315,Bath,21,11981.86,221
W000438864,BCHH4198,Bedding,10,11924.8,167
BLVE1109,BLVE1109,Bedding,17,11899.45,124
W100522875,KBST1221,Bath,10,11818.56,584
TWXL1909,TWXL1909,Bedding,10,11814.02,232
W110145667,CEZM1407,Bedding,18,11807.38,257
W118154134,LANP1007,Window,12,11805.41,189
W001465190,CHRL8172,Bedding,18,11735.42,477
JLYI1276,JLYI1276,Bedding,11,11716.75,189
W114178867,EDIV2558,Bath,12,11693.4,354
FBWX1607,FBWX1607,Bath,19,11689.42,195
SEPL1076,SEPL1076,Bedding,10,11689.09,307
W006116189,ANEW1698,Bedding,12,11669.47,154
W005383169,DCNV1578,Window,11,11649.49,401
BSTR1034,BSTR1034,Bedding,32,11594.36,66
W005759865,AGGR5933,Window,12,11559.8,404
WSHE1146,WSHE1146,Bedding,55,11527.09,302
W000446666,ALTH4532,Bath,11,11524.3,363
W001039723,CDCS1604,Bedding,15,11517.57,167
W110027868,IPCR1014,Bedding,14,11499.07,370
W100486001,ZYWR1820,Bath,24,11495.71,147
W113228475,GSNB1194,Window,12,11467.97,175
PLYH1162,PLYH1162,Bath,10,11443.85,342
W003719419,KLDF1235,Window,23,11387.1,101
W003697762,CHMB2462,Bedding,13,11349.43,187
W001503266,AAMM1162,Bedding,12,11335.55,167
W117533571,OPAH1138,Window,15,11295.24,238
CKAI1028,CKAI1028,Bedding,31,11258.93,380
W100811075,FSTX1823,Window,16,11219.24,360
CTTM1011,CTTM1011,Bedding,21,11192.09,359
W006110561,WDLN3449,Bath,11,11185.3,232
BDUR1520,BDUR1520,Bedding,11,11181.86,592
W000901813,MBWI1022,Bedding,31,11173.19,312
PSHP1116,PSHP1116,Bedding,19,11169.06,50
ULIH4093,ULIH4093,Bedding,11,11167.31,153
CHMB1396,CHMB1396,Bath,11,11160.87,131
AAHX1016,AAHX1016,Bedding,10,11150.47,310
W003557549,BMCM1002,Bedding,14,11132.54,287
W007260969,SSFL1615,Bedding,18,11063.64,480
CTAL1274,CTAL1274,Bedding,17,11050.17,262
W112391227,FEHH1094,Bath,10,11009.31,211
LLIJ1673,LLIJ1673,Window,35,11008.72,20
W000233785,ACOT4730,Bedding,10,11001.07,378
SEDZ1042,SEDZ1042,Bedding,12,10997.98,174
W001363175,JXS10287,Bedding,43,10975.08,220
